ORF ID,Gene Name,Class(1:essential 2:nonessential 3:unknown),Alternative Name,Map Position,Start(BP),End(BP),Length,Direction(0:+ 1:-),Ncbi ID,Product,Swissprot Acc No,Note
87,murF,1,"b0086,ECK0087,JW0084,mra",2.040009975,"94,650","96,008","1,359",0,1786274,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase,"P11880; O07100; P77636;,Q8FL66;,Q8X9Z1;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009252 - peptidoglycan biosynthetic process; GO_process: GO:0000270 - peptidoglycan metabolic process
88,mraY,1,"b0087,ECK0088,JW0085,murX",2.069149971,"96,002","97,084","1,083",0,1786275,phospho-N-acetylmuramoyl-pentapeptide transferase,"P15876;,Q8X9Z0;",phospho-N-acetylmuramoyl-pentapeptide transferase?; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process
89,murD,1,"b0088,ECK0089,JW0086",2.092540026,"97,087","98,403","1,317",0,1786276,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,"P14900;,Q8FL65;,Q8X9Y9;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009252 - peptidoglycan biosynthetic process
90,ftsW,1,"b0089,ECK0090,JW0087",2.120899916,"98,403","99,647","1,245",0,1786277,lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division,P16457;,cell division; membrane protein involved in shape determination; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
91,murG,1,"b0090,ECK0091,JW0088",2.147650003,"99,644","100,711","1,068",0,1786278,N-acetylglucosaminyl transferase,"P17443;,Q8FL64;,Q8X9Y8;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process
92,murC,1,"b0091,ECK0092,JW0089",2.171809912,"100,765","102,240","1,476",0,1786279,UDP-N-acetylmuramate:L-alanine ligase,"P17952; O07099;,Q8X9Y7;",GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_process: GO:0009252 - peptidoglycan biosynthetic process
94,ftsQ,1,"b0093,ECK0094,JW0091",2.223320007,"103,155","103,985",831,0,1786281,"divisome assembly protein, membrane anchored protein involved in growth of wall at septum","P06136;,Q8FL62;,Q8X9Y5;",cell division protein; ingrowth of wall at septum; GO_component: GO:0019866 - organelle inner membrane
95,ftsA,1,"b0094,divA,ECK0095,JW0092",2.241149902,"103,982","105,244","1,263",0,1786282,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,P06137; Q47229;,"ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane"
96,ftsZ,1,"b0095,ECK0096,JW0093,sfiB,sulB",2.269659996,"105,305","106,456","1,152",0,1786284,GTP-binding tubulin-like cell division protein,P06138; P77857; P78047;,cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase; GO_component: GO:0005737 - cytoplasm
97,lpxC,1,"asmB,b0096,ECK0097,envA,JW0094",2.296649933,"106,557","107,474",918,0,1786285,UDP-3-O-acyl N-acetylglucosamine deacetylase,P07652;,"UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009245 - lipid A biosynthetic process"
98,secM,1,"b0097,ECK0098,JW5007,srrA,yacA",2.321389914,"107,705","108,217",513,0,87081686,regulator of secA translation,"P62395; P10409; P75641;,Q9JMT9;",
99,secA,1,"azi,b0098,ECK0099,JW0096,pea,prlD",2.333760023,"108,279","110,984","2,706",0,1786287,"preprotein translocase subunit, ATPase","P10408; P75642;,Q8FL61;,Q8X996;",preprotein translocase; secretion protein; GO_component: GO:0005737 - cytoplasm
104,coaE,1,"b0103,ECK0103,JW0100,yacE",2.426870108,"112,599","113,219",621,1,1786292,dephospho-CoA kinase,"P36679; P75646;,Q8FL55;",putative DNA repair protein
127,can,1,"b0126,ECK0125,f220,JW0122,yadF",3.06072998,"142,008","142,670",663,1,1786318,carbonic anhydrase,"P61517; P36857; P75656; Q8KJQ4;,Q8FL37;,Q8X938;",putative carbonic anhdrase
143,folK,1,"b0142,ECK0141,JW0138",3.389309883,"157,253","157,732",480,1,1786335,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,"P26281;,Q8FL26;,Q8X911;","7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase; GO_process: GO:0046656 - folic acid biosynthetic process"
155,hemL,1,"b0154,ECK0153,gsa,gsa?,JW0150,popC",3.741679907,"173,602","174,882","1,281",1,1786349,glutamate-1-semialdehyde aminotransferase (aminomutase),"P23893; P78277;,Q8FL16;,Q8X4V5;",
157,erpA,1,"b0156,ECK0155,JW0152,yadR",3.806519985,"176,610","176,954",345,0,1786351,iron-sulfur cluster insertion protein,P37026;,
166,dapD,1,"b0166,ECK0164,JW0161,ssa",3.99000001,"185,123","185,947",825,1,1786362,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","P03948;,Q8FL11;,Q8X8Y7;",GO_component: GO:0005737 - cytoplasm; GO_process: GO:0009089 - lysine biosynthetic process via diaminopimelate
169,map,1,"b0168,ECK0166,JW0163,pepM",4.067349911,"188,712","189,506",795,1,1786364,methionine aminopeptidase,P07906;,GO_process: GO:0006457 - protein folding
170,rpsB,1,"b0169,ECK0168,JW0164",4.092400074,"189,874","190,599",726,0,1786365,30S ribosomal subunit protein S2,P02351; Q9R2E5;,GO_component: GO:0005737 - cytoplasm; GO_function: GO:0003735 - structural constituent of ribosome; GO_process: GO:0006412 - translation
171,tsf,1,"b0170,ECK0169,JW0165",4.113589764,"190,857","191,708",852,0,1786366,protein chain elongation factor EF-Ts,P02997;,GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006412 - translation
172,pyrH,1,"b0171,ECK0170,JW0166,smbA,umk",4.135099888,"191,855","192,580",726,0,1786367,uridylate kinase,P29464;,"GO_component: GO:0005737 - cytoplasm; GO_process: GO:0015949 - nucleobase, nucleoside and nucleotide interconversion"
173,frr,1,"b0172,ECK0171,JW0167,rrf",4.157020092,"192,872","193,429",558,0,1786368,ribosome recycling factor,P16174;,ribosome releasing factor; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006412 - translation; GO_process: GO:0009386 - translational attenuation
174,dxr,1,"b0173,ECK0172,ispC,JW0168,yaeM",4.171000004,"193,521","194,717","1,197",0,1786369,1-deoxy-D-xylulose 5-phosphate reductoisomerase,"P45568; P77209;,Q8X8Y1;",
175,ispU,1,"b0174,ECK0173,JW0169,o253,orf18,rth,uppS,yaeS",4.200789928,"194,903","195,664",762,0,1786371,undecaprenyl pyrophosphate synthase,"P60472; P75668; Q47675; Q9R2E4;,P60473; P75668; Q47675; Q9R2E4;,P60474; P75668; Q47675; Q9R2E4;","undecaprenyl pyrophosphate synthetase (di-trans,poly-cis-decaprenylcistransferase); GO_component: GO:0005737 - cytoplasm; GO_function: GO:0042280 - cell surface antigen activity, host-interacting"
176,cdsA,1,"b0175,ECK0174,geneA,JW5810",4.217470169,"195,677","196,534",858,0,87081696,CDP-diglyceride synthase,"P06466;,Q8FL09;",CDP-diglyceride synthetase; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0008654 - phospholipid biosynthetic process
177,rseP,1,"b0176,ecfE,ECK0175,JW0171,yaeL",4.236199856,"196,546","197,898","1,353",0,1786373,"inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease","P37764;,Q8FL08;",
178,bamA,1,"b0177,ecfK,ECK0176,JW0172,o810,omp85,yaeT,yzzN,yzzY",4.26598978,"197,928","200,360","2,433",0,1786374,"outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex",P39170; P39181; P77465;,putative outer membrane antigen; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0009279 - cell outer membrane
180,lpxD,1,"b0179,ECK0178,fir,firA,hlpA,JW0174,ompH,omsA,skp,ssc",4.331570148,"200,971","201,996","1,026",0,1786376,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase,"P21645;,P58610;","GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009245 - lipid A biosynthetic process"
181,fabZ,1,"b0180,ECK0179,JW0175,sabA,sefA,sfhC,yaeA",4.355929852,"202,101","202,556",456,0,1786377,(3R)-hydroxymyristol acyl carrier protein dehydratase,P21774;,GO_component: GO:0005737 - cytoplasm
182,lpxA,1,"b0181,ECK0180,JW0176",4.365819931,"202,560","203,348",789,0,1786378,UDP-N-acetylglucosamine acetyltransferase,"P10440; P78243;,Q8X8X8;","UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009245 - lipid A biosynthetic process"
183,lpxB,1,"b0182,ECK0181,JW0177,pgsB",4.382810116,"203,348","204,496","1,149",0,1786379,tetraacyldisaccharide-1-P synthase,"P10441; P78298;,Q8FL07;,Q8X8X7;","tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009245 - lipid A biosynthetic process"
185,dnaE,1,"b0184,ECK0183,JW0179,polC,sdgC",4.42113018,"205,126","208,608","3,483",0,1786381,DNA polymerase III alpha subunit,"P10443;,Q8FL05;,Q8X8X5;","DNA polymerase III, alpha subunit; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006261 - DNA-dependent DNA replication"
186,accA,1,"b0185,ECK0184,JW0180",4.496459961,"208,621","209,580",960,0,1786382,"acetyl-CoA carboxylase, carboxytransferase, alpha subunit","P30867;,Q8FL03;","acetylCoA carboxylase, carboxytransferase component, alpha subunit; GO_component: GO:0005737 - cytoplasm"
189,tilS,1,"b0188,ECK0187,JW0183,mesJ,yaeN",4.57641983,"212,331","213,629","1,299",0,1786386,tRNA(Ile)-lysidine synthetase,"P52097;,Q8FL00;,Q8X8W8;",
195,proS,1,"b0194,drp,drpA,ECK0194,JW0190",4.678279877,"217,057","218,775","1,719",1,1786392,prolyl-tRNA synthetase,"P16659; P78272; Q59430;,Q8FKZ4;,Q8X8W2;",proline tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
367,hemB,1,"b0369,ECK0366,JW0361,ncf",8.362159729,"387,977","388,951",975,1,87081728,5-aminolevulinate dehydratase (porphobilinogen synthase),"P15002; P78247;,Q8FKF1;,Q8X5I0;",5-aminolevulinate dehydratase = porphobilinogen synthase
406,secD,1,"b0408,ECK0402,JW0398",9.200449944,"426,871","428,718","1,848",0,1786609,SecYEG protein translocase auxillary subunit,"P19673; P72348; P77531;,Q8FKC4;","protein secretion; membrane protein, part of the channel; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane"
407,secF,1,"b0409,ECK0403,JW0399",9.24050045,"428,729","429,700",972,0,1786610,SecYEG protein translocase auxillary subunit,P19674; P77113;,"protein secretion, membrane protein; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane"
412,ribD,1,"b0414,ECK0408,JW0404,ribG,ybaE",9.325630188,"432,679","433,782","1,104",0,1786616,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase,"P25539;,Q8FKC3;,Q8XE88;",
413,ribE,1,"b0415,ECK0409,JW0405,ribH,ybaF",9.351320267,"433,871","434,341",471,0,1786617,riboflavin synthase beta chain,"P29015;,P61714; P25540; P77114;,P61715; P25540; P77114;,P61717; P25540; P77114;,Q8FH69;,Q8X622;","riboflavin synthase, beta chain"
414,nusB,1,"b0416,ECK0410,groNB,JW0406,ssaD,ssyB",9.361880302,"434,361","434,780",420,0,1786618,transcription antitermination protein,P04381;,transcription termination; L factor; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006350 - transcription
415,thiL,1,"b0417,ECK0411,JW0407,o325,o325d",9.372599602,"434,858","435,835",978,0,1786619,thiamin-monophosphate kinase,"P77785; O32380;,Q8XE87;",GO_process: GO:0009228 - thiamin biosynthetic process
418,dxs,1,"b0420,ECK0414,f620,JW0410,yajP",9.430379868,"437,539","439,401","1,863",1,1786622,"1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring","P77488;,Q8FKB9;,Q8XE76;",1-deoxyxylulose-5-phosphate synthase; flavoprotein; GO_process: GO:0008615 - pyridoxine biosynthetic process; GO_process: GO:0009228 - thiamin biosynthetic process
419,ispA,1,"b0421,ECK0415,JW0411",9.471050262,"439,426","440,325",900,1,1786623,geranyltranstransferase,"P22939;,Q8FKB8;,Q8XE75;",GO_component: GO:0005737 - cytoplasm
1,ffs,1,"b0455,ECK0449,JWR0009",10.25230026,"475,672","475,785",114,0,,4.5S sRNA component of Signal Recognition Particle (SRP),,4.5S RNA; component of ribonucleoprotein particle; works with the Ffh protein; adjusted endpoints to reflect the mature 4.5S RNA (114 nt)
466,dnaX,1,"b0470,dnaZ,ECK0464,JW0459",10.58940029,"491,316","493,247","1,932",0,1786676,"DNA polymerase III/DNA elongation factor III, tau and gamma subunits","P06710; Q47721;,Q8FK86;,Q8XD46;","DNA polymerase III, tau and gamma subunits; DNA elongation factor III; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006261 - DNA-dependent DNA replication"
470,adk,1,"b0474,dnaW,ECK0468,JW0463,plsA",10.69900036,"496,399","497,043",645,0,1786680,adenylate kinase,"P05082; P77123;,Q8FK84;","adenylate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0015949 - nucleobase, nucleoside and nucleotide interconversion; GO_process: GO:0009152 - purine ribonucleotide biosynthetic process"
471,hemH,1,"b0475,ECK0469,JW0464,popA,visA",10.71800041,"497,279","498,241",963,0,1786681,ferrochelatase,"P23871; P78232;,Q8FK83;,Q8XD39;",ferrochelatase: final enzyme of heme biosynthesis
520,lpxH,1,"b0524,ECK0517,JW0513,ybbF",11.90690041,"552,441","553,163",723,1,1786735,"UDP-2,3-diacylglucosamine pyrophosphatase","P43341; P77440;,Q8FK47;","GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009245 - lipid A biosynthetic process"
522,cysS,1,"b0526,ECK0519,JW0515",11.93690014,"553,834","555,219","1,386",0,1786737,cysteinyl-tRNA synthetase,"P21888;,Q8FK44;,Q8XCT9;",cysteine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
525,folD,1,"ads,b0529,ECK0522,JW0518",11.98569965,"556,098","556,964",867,1,1786741,"bifunctional 5,10-methylene-tetrahydrofolatedehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase","P24186; P77132;,Q8FK41;,Q8XCT6;","5,10-methylene-tetrahydrofolate dehydrogenase; 5,10-methylene-tetrahydrofolate cyclohydrolase; GO_process: GO:0046656 - folic acid biosynthetic process"
6,argU,1,"argW,b0536,dnaY,ECK0529,fimU,JWR0010,pin",12.1548996,"563,946","564,022",77,0,,tRNA-Arg,,anticodon: UCU
630,mrdB,1,"b0634,ECK0627,JW0629,rodA",14.32050037,"664,424","665,536","1,113",1,1786853,cell wall shape-determining protein,"P15035; P13409;,Q8FJZ3;",rod shape-determining membrane protein; sensitivity to radiation and drugs; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
631,mrdA,1,"b0635,ECK0628,JW0630,pbpA",14.34449959,"665,539","667,440","1,902",1,1786854,transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2),P08150;,"cell elongation, e phase; peptidoglycan synthetase; penicillin-binding protein 2; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009252 - peptidoglycan biosynthetic process; GO_process: GO:0042493 - response to drug"
635,nadD,1,"b0639,ECK0632,f213,fusB,JW0634,ybeN",14.42240047,"669,154","669,795",642,1,1786858,"nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent","P52085;,Q8FJZ1;,Q8XBP0;",GO_process: GO:0009435 - NAD biosynthetic process
636,holA,1,"b0640,ECK0633,JW0635",14.43630028,"669,797","670,828","1,032",1,1786859,"DNA polymerase III, delta subunit","P28630;,Q8FJZ0;,Q8X523;",GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006261 - DNA-dependent DNA replication
637,lptE,1,"b0641,ECK0634,JW0636,rlpB",14.45849991,"670,828","671,409",582,1,1786860,"LPS assembly OM complex LptDE, lipoprotein component","P10101; P77576;,Q8XBN9;",a minor lipoprotein; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0042158 - lipoprotein biosynthetic process
638,leuS,1,"b0642,ECK0635,JW0637",14.47140026,"671,424","674,006","2,583",1,1786861,leucyl-tRNA synthetase,"P07813; P77110; P78292;,Q8FJY9;,Q8XBN8;",leucine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
653,lnt,1,"b0657,cutE,ECK0649,JW0654",14.84080029,"688,566","690,104","1,539",1,1786878,apolipoprotein N-acyltransferase,"P23930; P77703;,Q8FJY4;,Q8XBK2;","apolipoprotein N-acyltransferase, copper homeostasis protein, inner membrane; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0042158 - lipoprotein biosynthetic process"
12,leuW,1,"b0672,ECK0660,feeB,JWR0016,o50",15.00510025,"696,186","696,270",85,1,,tRNA-Leu,,anticodon: CAA
669,glnS,1,"b0680,ECK0668,JW0666",15.20180035,"705,316","706,980","1,665",0,1786895,glutamyl-tRNA synthetase,"P00962; Q59403;,Q8FJW4;,Q8X9H8;",glutamine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
673,fldA,1,"b0684,ECK0672,JW0671",15.30620003,"710,158","710,688",531,1,1786900,flavodoxin 1,"P61949; P23243;,P61950; P23243;,P61951; P23243;",
866,infA,1,"b0884,bypA1,ECK0875,JW0867",19.94639969,"925,448","925,666",219,1,1787110,translation initiation factor IF-1,P02998;,protein chain initiation factor IF-1; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006412 - translation
872,ftsK,1,"b0890,dinH,ECK0881,JW0873",20.09720039,"932,447","936,436","3,990",0,1787117,DNA translocase at septal ring sorting daughter chromsomes,"P46889; P77450;,Q8FJC7;,Q8X5H9;",cell division protein; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_process: GO:0009432 - SOS response
873,lolA,1,"b0891,ECK0882,JW0874,lplA,yzzV",20.18670082,"936,595","937,206",612,0,145693108,lipoprotein chaperone,"P61316; P39178; Q8X5H8;,P61317; P39178; Q8X5H8;,P61318; P39178; Q8X5H8;",periplasmic protein effects translocation of lipoproteins from inner membrane to outer; GO_component: GO:0042597 - periplasmic space
875,serS,1,"b0893,ECK0884,JW0876",20.2310009,"938,651","939,943","1,293",0,1787120,"seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine",P09156;,serine tRNA synthetase; also charges selenocystein tRNA with serine; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
893,rpsA,1,"b0911,ECK0902,JW0894,ssy,ssyF",20.7173996,"961,218","962,891","1,674",0,1787140,30S ribosomal subunit protein S1,P02349; P77352;,GO_component: GO:0005737 - cytoplasm; GO_function: GO:0003735 - structural constituent of ribosome; GO_process: GO:0006412 - translation
896,msbA,1,"b0914,ECK0905,JW0897",20.81710052,"965,844","967,592","1,749",0,1787143,fused lipid transporter subunits of ABCsuperfamily: membrane component/ATP-binding component,"P60752; P27299;,P60753; P27299;,Q8FJB1;",ATP-binding transport protein; multicopy suppressor of htrB; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane
4319,lpxK,1,"b0915,ECK0906,JW0898,ycaH",20.85470009,"967,589","968,575",987,0,1787144,lipid A 4'kinase,,"GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0019866 - organelle inner membrane; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009244 - lipopolysaccharide core region biosynthetic process; GO_process: GO:0009245 - lipid A biosynthetic process; GO_process: GO:0009248 - K antigen biosynthetic process"
900,kdsB,1,"b0918,ECK0909,JW0901",20.9083004,"970,075","970,821",747,0,1787147,3-deoxy-manno-octulosonate cytidylyltransferase,"P04951;,Q8FJA9;,Q8XDG6;","CTP:CMP-3-deoxy-D-manno-octulosonate transferase; GO_component: GO:0009274 - peptidoglycan-based cell wall; GO_component: GO:0005737 - cytoplasm; GO_function: GO:0042280 - cell surface antigen activity, host-interacting; GO_process: GO:0009244 - lipopolysaccharide core region biosynthetic process; GO_process: GO:0009245 - lipid A biosynthetic process; GO_process: GO:0009248 - K antigen biosynthetic process"
904,mukF,1,"b0922,ECK0913,JW0905,kicB",20.9829998,"973,542","974,864","1,323",0,1787152,"chromosome condensin MukBEF, kleisin-like subunit, binds calcium","P60293; P36567;,Q8FJA4;,Q8XDG2;",mukF protein (killing factor KICB)
905,mukE,1,"b0923,ECK0914,JW0906,kicA,ycbA",21.01110077,"974,845","975,549",705,0,226510932,"Chromosome condensin MukBEF, MukE localization factor","P22524;,Q8FJA3;,Q8XDG1;",
906,mukB,1,"b0924,ECK0915,JW0907,o1486",21.02619934,"975,549","980,009","4,461",0,1787154,"chromosome condensin MukBEF, ATPase and DNA-binding subunit","P22523; P71227; P77164; Q47398;,Q8FJA2;,Q8XDG0;",kinesin-like cell division protein involved in chromosome partitioning
912,asnS,1,"b0930,ECK0921,JW0913,lcs,tss",21.26889992,"986,808","988,208","1,401",1,1787161,asparaginyl tRNA synthetase,"P17242;,P58694;",asparagine tRNA synthetase; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006418 - tRNA aminoacylation for protein translation
935,fabA,1,"b0954,ECK0945,JW0937",21.88030052,"1,015,175","1,015,693",519,1,1787187,beta-hydroxydecanoyl thioester dehydrase,"P18391; Q59383;,Q8FJ83;","beta-hydroxydecanoyl thioester dehydrase, trans-2-decenoyl-ACP isomerase"
22,serT,1,"b0971,divE,ECK0962,JWR0026",22.21809959,"1,030,848","1,030,935",88,1,,tRNA-Ser,,anticodon: UGA
1049,murJ,1,"b1069,ECK1054,JW1056,mviN,mviS,o511b,yceN",24.29179955,"1,127,062","1,128,597","1,536",0,1787309,putative peptidoglycan lipid II flippase required for murein synthesis,"P75932;,Q8FIQ8;",putative virulence factor
1064,rne,1,"ams,b1084,ECK1069,hmp1,JW1071,smbB",24.57939911,"1,140,405","1,143,590","3,186",1,1787325,fused ribonucleaseE:endoribonuclease/RNA-binding protein/RNA degradosome binding protein,"P21513; P77591;,Q8FIP9;,Q8X8J5;","RNase E, membrane attachment, mRNA turnover, maturation 5S RNA; GO_component: GO:0005737 - cytoplasm; GO_process: GO:0006401 - RNA catabolic process"
1065,yceQ,1,"b1085,ECK1070,JW5154,o124",24.65099907,"1,143,725","1,144,045",321,0,87081829,hypothetical protein,"P62066; P75943;,P62067; P75943;",
1072,fabD,1,"b1092,ECK1078,JW1078,tfpA",24.7635994,"1,148,951","1,149,880",930,0,1787334,malonyl-CoA-[acyl-carrier-protein] transacylase,"P25715;,Q8X8I7;",GO_component: GO:0005737 - cytoplasm
1073,fabG,1,"accC,b1093,ECK1079,JW1079",24.78389931,"1,149,893","1,150,627",735,0,1787335,3-oxoacyl-[acyl-carrier-protein] reductase,"P24182;,P25716; P78221;,Q8FD40;,Q8X8I5;,Q8X9B6;",GO_component: GO:0005737 - cytoplasm
